39,5
39,9
39,14
39,20
39,27
39,31
39,35
39,39
39,44
39,48
39,54
39,58
39,65
39,69
39,77
39,81
39,90
39,94
also,3384
also,3399
also,3415
also,3432
also,3450
always,166
always,184
always,203
always,1786
always,1801
always,1817
always,1834
always,1852
always,2698
always,2704
always,2711
always,2719
always,2728
always,2738
always,2749
always,2760
always,2772
always,2785
always,2799
always,2814
always,2830
always,2847
always,2865
always,2878
am,2713
am,2721
am,2730
am,2740
am,2751
am,2762
am,2774
am,2787
am,2801
am,2816
am,2832
am,2849
am,2867
amazing,208
amazing,210
amazing,213
amazing,217
amazing,222
amazing,228
amazing,235
amazing,243
amazing,252
amazing,262
amazing,273
amazing,285
amazing,298
amazing,312
amazing,327
amazing,343
amazing,360
amazing,378
amazing,396
cases,976
cases,990
cases,993
cases,1008
cases,1011
cases,1027
cases,1030
cash,1871
cash,1876
cash,1882
cash,1889
cash,1897
cash,1906
cash,1916
cash,1927
cash,1939
cash,1952
cash,1966
cash,1981
cash,1997
cash,2014
cash,2032
cash,2051
cast,2379
cast,2394
cast,2410
cast,2427
cast,2445
cast,2464
cast,2824
cast,2840
cast,2857
cast,2875
cast,3056
cast,3058
cast,3061
cast,3065
cast,3070
cast,3076
cast,3083
cast,3091
cast,3100
cast,3110
cast,3121
cast,3133
cast,3146
cast,3160
cast,3175
cast,3191
cast,3208
cast,3226
cast,3245
caste,416
caste,418
caste,421
caste,425
caste,430
caste,436
caste,443
caste,451
caste,460
caste,470
caste,481
caste,493
caste,506
caste,520
caste,535
caste,551
caste,568
caste,586
caste,605
caste,1268
caste,1273
caste,1279
caste,1286
caste,1294
caste,1303
caste,1313
caste,1319
caste,1324
caste,1330
caste,1337
caste,1343
caste,1351
caste,1357
caste,1366
caste,1372
caste,1382
caste,1388
caste,1399
caste,1405
caste,1417
caste,1423
caste,1436
caste,1442
caste,1456
caste,1462
casteism,1256
casteism,1258
casteism,1261
casteism,1265
casteism,1270
casteism,1276
casteism,1283
casteism,1291
casteism,1300
casteism,1310
casteism,1321
casteism,1334
casteism,1348
casteism,1363
casteism,1379
casteism,1396
casteism,1414
casteism,1433
casteism,1453
casting,2280
casting,2286
casting,2293
casting,2301
casting,2310
casting,2320
casting,2331
casting,2343
casting,2356
casting,2370
casting,2385
casting,2401
casting,2418
casting,2436
casting,2455
cause,3291
cause,3298
cause,3306
